id;Jurusan;Math_Benar;Math_Salah;Math_Skor;Listening_Benar;Listening_Salah;Listening_Skor;Reading_Benar;Reading_Salah;Reading_Skor;Reading_Total;Level
191-08-1-061;T. Informatika;29;21;58.00;21;29;195;25;25;215;410;Brown
191-08-1-049;T. Informatika;25;25;50.00;21;29;195;21;29;165;360;Brown
191-08-1-031;T. Informatika;23;27;46.00;41;9;82;38;12;370;820;Blue
191-08-1-076;T. Informatika;22;28;44.00;32;18;340;40;10;395;735;blue
191-08-1-059;T. Informatika;21;29;42.00;25;25;250;34;16;325;575;Green
191-08-1-046;T. Informatika;20;30;40.00;20;30;185;20;30;150;335;Brown
191-08-1-055;T. Informatika;20;30;40.00;33;17;350;32;18;300;650;Green
191-08-1-014;T. Informatika;18;32;36.00;19;31;38;17;33;110;285;Brown
191-08-1-015;T. Informatika;17;33;34.00;25;25;50;27;23;235;485;Green
191-08-1-080;T. Informatika;17;33;34.00;47;3;495;42;8;415;910;gold
191-08-1-068;T. Informatika;16;34;32.00;23;27;220;26;24;225;445;Brown
191-08-1-081;T. Informatika;16;34;32.00;29;21;300;34;16;325;625;green
191-08-1-091;IF;16;36;32.00;30;20;315;34;16;325;640;green
191-08-1-002;T. Informatika;15;35;30.00;29;21;58;36;14;390;690;Green
191-08-1-009;T. Informatika;15;35;30.00;21;29;42;19;31;140;335;Brown
191-08-1-013;T. Informatika;15;35;30.00;32;18;64;23;27;190;530;Green
191-08-1-065;T. Informatika;15;35;30.00;25;25;250;15;35;90;340;Brown
191-08-1-001;T. Informatika;14;36;28.00;24;26;48;18;32;125;365;Brown
191-08-1-042;T. Informatika;14;36;28.00;18;32;165;16;34;100;265;Brown
191-08-1-042;T. Informatika;14;36;28.00;18;32;165;16;34;100;265;Brown
191-08-1-051;T. Informatika;14;36;28.00;27;23;275;37;13;360;635;Green
191-08-1-070;T. Informatika;13;37;26.00;28;22;290;36;14;350;640;green
191-08-1-071;T. Informatika;13;37;26.00;29;21;300;28;22;250;550;green
191-08-1-090;IF;13;37;26.00;25;25;250;31;19;285;535;green
191-08-1-039;T. Informatika;12;38;24.00;30;20;315;31;19;285;600;Green
191-08-1-053;T. Informatika;12;38;24.00;36;14;390;29;21;260;650;Green
191-08-1-060;T. Informatika;12;38;24.00;36;14;390;28;22;250;640;Green
191-08-1-083;T. Informatika;12;38;24.00;38;12;410;33;17;310;720;green
191-08-1-086;T. Informatika;12;38;24.00;23;27;220;32;18;300;520;green
191-08-1-003;T. Informatika;11;39;22.00;17;33;34;13;37;110;260;Brown
191-08-1-024;T.Informatika;11;39;22.00;26;24;52;31;19;285;545;Green
191-08-1-048;T. Informatika;11;39;22.00;23;27;220;33;17;310;530;Green
191-08-1-087;T. Informatika;11;39;22.00;24;26;240;25;25;215;455;brown
191-08-1-044;T. Informatika;10;40;20.00;32;18;340;27;23;235;575;Green
191-08-1-085;T. Informatika;9;41;18.00;20;30;185;16;34;100;285;brown
191-08-1-062;T. Informatika;6;44;12.00;24;26;240;26;24;225;465;Brown
191-08-1-004;T. Informatika;;;;;;0;;;;;
191-08-1-005;T. Informatika;;;;;;0;;;;;
191-08-1-006;T. Informatika;;;;;;0;;;;;
191-08-1-007;T. Informatika;;;;;;0;;;;;
191-08-1-008;T. Informatika;;;;;;0;;;;;
191-08-1-010;T. Informatika;;;;;;0;;;;;
191-08-1-011;T. Informatika;;;;;;0;;;;;
191-08-1-012;T. Informatika;;;;;;0;;;;;
191-08-1-073;T. Informatika;;;;;;;;;;;
191-08-1-030;T. Elektronika Industri;21;29;42.00;25;25;50;33;17;310;560;Green
191-08-1-045;T. Elektronika Industri;20;30;40.00;33;17;350;43;7;425;775;Blue
191-08-1-063;T. Elektronika Industri;20;30;40.00;27;23;275;30;20;270;545;Green
191-08-1-035;T. Elektronika Industri;18;32;36.00;34;16;365;38;12;370;735;Blue
191-08-1-058;T. Elektronika Industri;18;32;36.00;29;21;300;36;14;350;650;Green
191-08-1-037;T. Elektronika Industri;17;33;34.00;21;29;195;26;24;225;420;Brown
191-08-1-033;T. Elektronika Industri;16;34;32.00;24;26;48;23;27;190;430;Brown
191-08-1-088;EL;15;35;30.00;24;26;240;31;19;285;525;green
191-08-1-038;T. Elektronika Industri;14;36;28.00;23;27;220;28;22;250;470;Green
191-08-1-047;T. Elektronika Industri;9;41;18.00;22;28;210;26;24;225;435;Brown
191-08-1-032;T. Elektronika Industri;;;;;;0;;;;;
191-08-1-034;T. Elektronika Industri;;;;;;0;;;;;
191-08-1-036;T. Elektronika Industri;;;;;;;;;;;
043-08-1-006;T. Informatika;23;27;46.00;22;28;210;24;26;200;410;Brown
043-08-1-009;IF;15;35;30.00;32;18;340;37;13;360;700;Green
043-08-1-001;T. Informatika;13;37;26.00;17;33;150;34;16;325;475;Green
043-08-1-008;T. Informatika;11;39;22.00;30;20;315;24;26;200;515;Green
043-08-1-002;T. Informatika;6;44;12.00;15;35;130;19;31;140;270;Brown
043-08-1-005;Akuntansi;11;39;22.00;16;34;140;19;31;140;280;Brown
043-08-1-003;Akuntansi;10;40;20.00;25;25;250;22;28;175;425;Brown
043-08-1-007;Akuntansi;10;40;20.00;20;30;185;18;32;125;310;Brown
043-08-1-004;T. Informatika;;;;;;;;;;;
191-08-1-067;Akuntansi;24;26;48.00;30;20;315;36;14;350;665;Green
191-08-1-077;Akuntansi;24;26;48.00;27;23;275;33;17;310;585;green
191-08-1-020;Akuntansi;23;27;46.00;33;17;66;39;11;385;735;Blue
191-08-1-066;Akuntansi;23;27;46.00;30;20;315;41;9;405;720;Green
191-08-1-075;Akuntansi;21;29;42.00;29;21;300;32;18;300;600;green
191-08-1-089;Akuntansi;21;29;42.00;30;20;315;24;26;200;515;green
191-08-1-019;Akuntansi;20;30;40.00;25;25;50;32;18;300;550;Green
191-08-1-074;Akuntansi;19;31;38.00;30;20;315;39;11;385;700;blue
191-08-1-043;Akuntansi;17;33;34.00;19;31;175;17;32;115;290;Brown
191-08-1-056;Akuntansi;17;33;34.00;16;34;140;40;10;395;535;Green
191-08-1-072;Akuntansi;17;33;34.00;21;29;195;35;15;335;530;green
191-08-1-084;Akuntansi;17;33;34.00;23;27;220;25;25;215;435;brown
191-08-1-057;Akuntansi;16;34;32.00;18;32;165;19;31;140;305;Brown
191-08-1-064;Akuntansi;16;34;32.00;31;19;325;34;16;325;650;Green
191-08-1-078;Akuntansi;16;34;32.00;35;15;380;40;10;395;775;blue
191-08-1-078;Akuntansi;16;34;32.00;35;15;380;40;10;395;775;blue
191-08-1-027;Akuntansi;15;35;30.00;20;30;40;17;33;115;300;Brown
191-08-1-018;Akuntansi;14;36;28.00;21;29;42;22;28;175;370;Brown
191-08-1-050;Akuntansi;14;36;28.00;24;26;240;17;33;115;355;Brown
191-08-1-025;Akuntansi;13;37;26.00;36;14;72;40;10;395;785;Blue
191-08-1-079;Akuntansi;13;37;26.00;21;29;195;20;30;150;345;brown
191-08-1-026;Akuntansi;12;38;24.00;19;31;38;10;40;30;205;orange
191-08-1-023;Akuntansi;11;39;22.00;17;33;34;21;29;165;315;Brown
191-08-1-054;Akuntansi;10;40;20.00;22;28;210;26;24;225;435;Brown
191-08-1-052;Akuntansi;8;42;16.00;18;32;165;25;25;215;380;Brown
191-08-1-017;Akuntansi;5;45;10.00;39;11;78;42;8;415;840;Blue
191-08-1-069;Akuntansi;4;64;8.00;13;37;110;11;39;40;150;orange
191-08-1-016;Akuntansi;;;;;;0;;;;;
191-08-1-021;Akuntansi;;;;;;0;;;;;
191-08-1-022;Akuntansi;;;;;;0;;;;;
191-08-1-028;Akuntansi;;;;;;0;;;;;
191-08-1-029;Akuntansi;;;;;;0;;;;;
191-08-1-040;Akuntansi;;;;;;;;;;;
191-08-1-041;Akuntansi;;;;;;;;;;;
191-08-1-082;Akuntansi;;;;;;;;;;;
